"Vehicle Reg No","Trip ID","Route Description",Deviation,"Date Mapped","Stop ID","Cluster Stop ID",Sequence,Name,"Arrival Time","Departure Time","Dwell Time","Pax On","Pax Off",Fare,Occupancy,"Cumulative Distance (km)","Stop Lat","Stop Lon","Cluster Stop Lat","Cluster Stop Lon","Geometry (WKT)"
8356BT,43405896,KN001,,2025-11-24,43424684,,1,Inconnu,13:35:00,13:35:30,00:00:30,9,0,1500.00,9,0,-4.343344,15.330139,,,"POINT (15.330139 -4.343344)"
8356BT,43405896,KN001,,2025-11-24,43424685,,2,Inconnu,13:37:59,13:38:18,00:00:19,2,0,1500.00,11,0.913,-4.351394,15.33431,,,"POINT (15.334310 -4.351394)"
8356BT,43405896,KN001,,2025-11-24,43424686,,3,Inconnu,13:41:31,13:41:42,00:00:11,5,0,1500.00,16,1.897,-4.360084,15.338846,,,"POINT (15.338846 -4.360084)"
8356BT,43405896,KN001,,2025-11-24,43424687,,4,Inconnu,13:41:51,13:41:54,00:00:03,2,0,1500.00,18,2.074,-4.361645,15.339624,,,"POINT (15.339624 -4.361645)"
8356BT,43405896,KN001,,2025-11-24,43424688,,5,Inconnu,13:47:32,13:49:12,00:01:40,1,2,1500.00,17,4.866,-4.385525,15.361643,,,"POINT (15.361643 -4.385525)"
8356BT,43405896,KN001,,2025-11-24,43424689,,6,Inconnu,13:50:05,13:50:18,00:00:13,0,1,1500.00,16,5.352,-4.388758,15.370007,,,"POINT (15.370007 -4.388758)"
8356BT,43405896,KN001,,2025-11-24,43424690,,7,Inconnu,13:51:43,13:51:54,00:00:11,0,16,1500.00,0,5.6,-4.390457,15.374455,,,"POINT (15.374455 -4.390457)"
8356BT,43405896,KN001,,2025-11-24,43424691,,8,Inconnu,13:51:57,13:52:03,00:00:06,0,0,1500.00,0,5.611,-4.39054,15.374655,,,"POINT (15.374655 -4.390540)"
7826BT,43405897,KN002,,2025-11-24,43424692,,1,Inconnu,14:07:02,14:07:45,00:00:43,22,0,2000.00,22,0,-4.392188,15.379318,,,"POINT (15.379318 -4.392188)"
7826BT,43405897,KN002,,2025-11-24,43424693,,2,Inconnu,14:13:39,14:13:39,00:00:00,0,1,2000.00,21,1.813,-4.404874,15.412487,,,"POINT (15.412487 -4.404874)"
7826BT,43405897,KN002,,2025-11-24,43424694,,3,Inconnu,14:25:56,14:26:29,00:00:33,1,2,2000.00,20,5.813,-4.376749,15.480257,,,"POINT (15.480257 -4.376749)"
7826BT,43405897,KN002,,2025-11-24,43424695,,4,Inconnu,14:27:16,14:32:30,00:05:14,1,4,2000.00,17,5.848,-4.376472,15.480659,,,"POINT (15.480659 -4.376472)"
7826BT,43405897,KN002,,2025-11-24,43424696,,5,Inconnu,14:33:00,14:33:00,00:00:00,0,1,2000.00,16,7.293,-4.364579,15.495635,,,"POINT (15.495635 -4.364579)"
